	ref_hk
CD99L2	0.7335236
CDK16	2.604148
PBDC1	4.1088343
ARMCX3	6.8055515
FNDC3A	2.9584577
DNAJC3	4.5885196
MRPS31	3.6039233
DHRS12	1.0408614
MGRN1	1.7751878
PHKB	2.6555865
LYRM1	2.18973
NUTF2	7.7566323
CENPT	2.0701687
LONP2	3.0265672
N4BP1	1.703952
CTCF	3.2810943
POLR2C	4.6431594
USB1	1.3498086
CYB5B	4.4326987
NME3	7.4072423
PSMD7	7.3238087
SETD6	0.71995175
VAC14	0.9259842
TANGO6	0.23251191
COG4	1.8070736
WDR59	1.2627637
CMC2	4.18988
AXIN1	0.8242148
NPRL3	1.4427514
MPG	5.555132
USP10	2.9425428
TSC2	2.3687775
CLCN7	0.9147091
METRN	2.0389142
STUB1	8.441152
NUBP1	2.1730254
UBE2I	11.750805
GSPT1	5.3553715
ZNF174	0.44637835
UBFD1	1.3297199
EARS2	0.5319761
HMOX2	3.4588249
DNAJA3	1.7029383
BFAR	3.7653925
MAZ	7.2067475
STX4	2.6340494
CDIPT	3.6871006
BCKDK	3.09206
KAT8	2.58963
RNF40	1.7034163
AAGAB	1.0023904
LACTB	2.0560632
TRIP4	1.1044068
MTFMT	1.1166304
RAB11A	9.994963
TMEM87A	4.595203
DTWD1	3.4653356
GABPB1	1.2265395
DNAJC17	1.5260007
EIF3J	7.54083
SPG11	1.5686255
VPS18	0.4143495
BLOC1S6	3.99648
ZDHHC2	0.9041023
BRF2	0.8915681
ZFAND1	3.8771973
NBN	2.2596729
UBE2W	1.8901957
RAB2A	11.736146
EIF3E	23.465038
EMC2	3.0797493
ARMC1	2.5955343
CHRAC1	2.9659715
INTS10	2.8234007
DCTN6	4.33887
R3HCC1	2.8713415
GSR	1.0968812
PPP2CB	4.0898285
ERICH1	3.2144136
NUCB1	6.7295623
ECH1	14.197137
HNRNPL	4.391791
NFKBIB	1.7357327
SNRNP70	8.910202
CLPTM1	2.8800223
PPP1R37	1.4890808
PIH1D1	5.3761964
ERCC2	0.72222763
PLEKHJ1	9.55692
OAZ1	29.756826
TRMT1	1.694431
STX10	4.277096
PTOV1	7.1471963
SGTA	2.4563148
C19orf53	15.027757
TIMM44	3.1443603
VRK3	2.3151577
FAM32A	6.1378284
AKAP8	1.5086863
ILVBL	3.6151266
ZNF419	0.38763526
POP4	2.6299314
URI1	3.8302686
PDCD5	9.857185
TIMM50	2.975616
GPI	4.5315666
PLD3	9.1096325
TBCB	8.37282
POLR2I	9.32566
HNRNPUL1	6.095783
FZR1	1.2916594
PLIN3	4.95615
MRPL4	5.3632064
ETFB	11.311163
BABAM1	5.639352
TYK2	0.95234656
CDC37	9.730441
NAPA	3.7773688
GRWD1	1.5624241
TMEM205	6.1484547
BCAT2	2.4384077
PPP2R1A	9.580952
WDR83OS	17.300293
GCDH	1.5377706
DNASE2	1.7443365
LENG1	1.9821452
PRPF31	4.3757925
TFPT	1.6181945
COPE	16.723783
DDX49	2.4656572
ARMC6	1.2996901
TMEM147	9.581873
USF2	3.0816247
KXD1	4.788444
FKBP8	10.1621475
SUGP1	0.9629537
GSK3A	2.800998
ZNF574	0.8230483
GTPBP10	0.80764306
PMPCB	5.5622883
DNAJC2	3.8609052
NAMPT	6.377438
HBP1	4.4807553
BRAT1	1.372267
SSBP1	11.619751
HIBADH	3.1186297
TAX1BP1	8.12539
CHCHD2	28.558104
PDAP1	8.242969
PTCD1	0.5972732
ZKSCAN1	5.5990205
EIF3B	3.744068
RBM28	1.6945882
LSM5	10.942278
C1GALT1	1.8501239
PLOD3	2.0722077
RPA3	5.6797533
ZNHIT1	13.25468
TMEM106B	4.0066485
CHCHD3	5.124658
PSMA2	11.429202
MRPL32	6.9892073
COA1	3.9859529
URGCP	1.250972
TMEM248	4.225428
POLD2	5.68315
BCL7B	3.076334
YKT6	1.4775951
EIF4H	9.155194
NMRK1	1.9588603
SEC61B	21.547867
CDC37L1	1.3992784
PLGRKT	4.672746
CREB3	2.8234022
RGP1	1.5888302
EDF1	25.694008
BAG1	7.2253494
RAPGEF1	1.2173563
UBE2R2	5.600079
ZFAND5	8.331299
HPS1	2.7699125
EIF3A	9.931193
MAPK8	1.5442553
SEC23IP	1.3527067
ATE1	1.4299943
NSMCE4A	4.0425773
PLEKHA1	2.4165242
MICU1	2.5221822
FBXW4	1.2026235
TNKS2	1.7635845
GBF1	1.2184377
FBXL15	3.725408
CUEDC2	5.4161572
ACBD5	1.6022235
LHPP	1.3526127
GTPBP4	3.1300628
BCCIP	3.0291598
MTPAP	1.1235015
PITRM1	0.81156033
GLRX3	5.4805555
XPNPEP1	2.3826153
SHOC2	2.6488693
TFAM	3.4178762
CUL2	1.4691577
CCNY	2.485219
PPIF	3.9447815
NUFIP2	4.045264
UBTF	3.5401695
PSMD3	5.0602903
CASC3	2.18182
RAD51C	2.0066671
TUBD1	0.9609568
KPNB1	7.59928
GOSR2	2.1910903
PNPO	0.6517819
RPS6KB1	1.3843166
CAMTA2	0.5845481
MED13	2.3167512
PFN1	32.986343
RNF167	4.5351167
SLC25A11	5.4085197
C1QBP	12.52147
BLMH	2.1634798
CPD	1.6018779
GOSR1	3.0894854
CCDC47	5.027837
MED31	2.0464694
DRG2	1.975679
FTSJ3	1.6144744
UTP6	1.9232621
PSMD11	4.8132224
PEX12	0.23522918
RAB5C	8.241528
MLX	3.2168415
MRPL27	8.722688
LRRC59	5.853232
LUC7L3	11.7157
EFTUD2	1.5066078
PRKAR1A	6.621402
YWHAE	19.04135
RANGRF	2.5024886
DPH1	0.06234519
DHRS7B	2.173459
TNFAIP1	1.1879545
SUPT6H	1.9141545
PHF12	0.98800355
TMEM33	2.483569
OCIAD1	10.27777
DCUN1D4	0.9668451
LAMTOR3	3.6304014
UBE2D3	18.019096
ELF2	3.5357375
NDUFC1	13.139802
ZNF330	2.789139
RPL34	42.47215
GRPEL1	3.2260287
CLCN3	2.830565
DHX15	4.5721216
FBXW7	2.128532
RAPGEF2	1.2054616
SNX25	0.5347508
UFSP2	2.6977654
KLF3	6.2537436
KLHL5	1.0278187
HTATIP2	3.8829384
ELP4	1.2494801
MTCH2	6.4045873
HSPA8	28.322107
DNAJC4	5.2909775
ATG2A	0.9374774
OSBP	1.7019999
PUS3	0.81508565
FOXRED1	1.1537683
PPP6R3	2.1711566
CCDC86	0.9391855
PRPF19	3.230904
TRIM3	0.63257706
ANAPC15	4.539848
PANX1	0.7474608
RNF141	1.5059142
EIF4G2	15.5384445
BIRC2	3.5684712
UBE4A	1.5341322
FBXO3	2.221745
PDHX	1.7194989
COMMD9	2.5505328
AMBRA1	0.434909
PTPMT1	3.7049375
CD81	11.900754
C11orf58	14.686442
RPS13	40.336594
AIP	4.1642637
NDUFS8	12.923155
GTF2H1	1.6679834
PSMD9	3.824909
PRDM4	0.93018323
COQ5	2.6751049
CORO1C	2.6934955
MLEC	11.397891
PTGES3	18.349669
RSRC2	12.304894
METAP2	8.576023
GPN3	2.0984302
VPS29	10.382616
DUSP16	0.9339591
CDK2AP1	2.177154
RFC5	1.1246573
COPZ1	8.943706
RAB5B	2.7286942
NUP107	1.7712861
CNOT2	4.68824
CPSF6	3.725894
KRR1	3.296198
MRPL51	14.299145
NOP2	0.58515304
CHD4	5.5194716
COPS7A	1.923341
CHPT1	6.06017
USP5	1.9124005
TPI1	25.036226
C12orf57	18.677277
LPCAT3	2.228839
GOLT1B	2.0151458
PRKAB1	1.7332443
CMAS	5.3710575
FGFR1OP2	4.122746
TDP2	6.189252
RWDD1	10.46486
TMEM14C	12.857459
PAK1IP1	1.9990675
SMIM8	2.0024524
ASF1A	2.6460981
SERINC1	4.282609
PPARD	0.7957798
KCTD20	1.8003744
SRSF3	22.044634
MRPL18	9.715104
FBXL4	0.8543965
ASCC3	2.0558584
ACOT13	5.3500714
SMAP1	5.012881
C6orf62	4.2446575
SNX3	17.162006
HBS1L	1.9485695
SLC39A7	4.153873
CUTA	19.02361
FAM120B	0.6562215
PPP2R5D	0.8091544
MRPL2	4.086057
DUSP22	1.5712732
EXOC2	0.71592903
COX7A2	24.87114
TMEM30A	3.1252549
SENP6	4.135801
PRPF4B	6.3573933
FBRSL1	1.2371064
HARS2	0.87099063
MRPS30	2.905925
HSPA9	7.5895076
MRPS27	2.5340931
FAF2	2.1511192
CLINT1	4.9196906
TTC1	4.320424
MSH3	1.5474889
CCNG1	8.028678
DROSHA	0.83543134
GOLPH3	3.6297348
SUB1	22.321878
RAD1	1.8344543
BRIX1	3.501221
