	ref_hk
TECR	3.1813498
TIMM13	3.5154111
POLR2E	3.6727312
TRMT2A	0.84851766
RANBP1	3.2593603
ZDHHC8	1.3190421
SNAP29	2.6764162
CRKL	1.4716103
LZTR1	1.3568617
SMARCB1	2.681027
BCL2L13	5.9426184
SF3A1	2.254817
SPECC1L	1.0667332
SNRPD3	4.1771693
PES1	1.3564138
MAPK1	7.4332175
SRRD	0.6385834
PATZ1	0.8247961
TFIP11	1.131695
EIF3L	5.772331
MICALL1	0.7633199
POLR2F	2.8894653
PICK1	0.99090564
DDX17	26.452286
TCF20	3.2684493
HSCB	2.0199847
TOMM22	2.2372313
FBXO7	3.9933133
POLDIP3	1.9291767
PPP6R2	7.9549594
SUN2	5.3022556
CYB5R3	7.071633
LMF2	1.9727967
RHBDD3	0.97592306
PACSIN2	5.2813435
AP1B1	3.2842817
HMGXB4	3.3612769
CHKB	0.52983963
MCAT	0.4276129
THOC5	1.2745785
ZMAT5	0.9421472
TAB1	1.5651081
MTMR3	8.317871
SAMM50	2.1002772
TXN2	3.0693007
EIF3D	5.8377132
SGSM3	0.33955854
IFT27	1.3606182
RBX1	6.284943
L3MBTL2	0.9889155
RANGAP1	1.2357863
ZC3H7B	2.4837747
PHF5A	1.4058305
DESI1	1.6085429
CERK	2.2722838
ZBED4	1.6929748
ABHD4	0.73829365
KHNYN	1.8482957
FKBP3	3.6902266
SDR39U1	1.7295543
RBM23	3.9681776
PRMT5	0.8519745
PSMC6	5.062634
GNPNAT1	1.5535287
ATP6V1D	4.943253
PIGH	1.2255551
PSMA3	6.5723224
VTI1B	3.3501801
TIMM9	2.375961
AHSA1	3.5264595
ALKBH1	1.9486593
SNW1	5.9959283
ITPK1	2.8363824
PPM1A	4.573993
ERH	5.394527
EIF5	9.657843
TELO2	0.80874616
PSMB5	4.27044
YY1	7.621749
ACIN1	7.6200485
CCNB1IP1	2.530532
APEX1	4.0265217
PABPN1	6.819272
ARHGAP5	9.917268
CINP	1.6473999
SRP54	5.607946
CHD8	5.091937
DCAF11	1.0972655
PSMA6	1.1891755
EMC9	0.5192764
TM9SF1	0.43080175
SEC23A	6.3345633
GMPR2	1.7504921
PNN	12.442608
RABGGTA	0.5682615
PCIF1	0.8235902
GSS	1.3691281
TRPC4AP	8.116818
ABHD12	3.6498792
ADNP	8.373724
PFDN4	2.1458735
CSTF1	0.7897087
TPD52L2	2.8449657
DNAJC5	3.090758
NELFCD	2.5184343
PRPF6	4.448708
PSMA7	9.609306
DIDO1	5.193344
GID8	2.1797166
ARFRP1	1.5708127
CDS2	3.404005
TM9SF4	3.4155178
CRNKL1	1.9556334
POFUT1	1.3600986
NOP56	3.7172396
IDH3B	2.249782
CDK5RAP1	2.131487
TTI1	1.5049531
RPRD1B	3.0095553
PXMP4	0.7798563
CHMP4B	3.6284568
CST3	19.710913
ACTR5	0.60719657
AHCY	1.5381092
DNTTIP1	1.6253172
PIGU	2.0829196
ACOT8	1.3587558
RBFA	1.3972099
USP14	5.268723
VAPA	10.729265
MIB1	7.8076444
RIOK3	6.6551385
PSMD10	0.84515715
NKAP	2.641187
MOSPD1	0.7051548
WDR13	2.824639
XIAP	5.9764915
CCDC22	0.5834857
NAA10	2.770744
RBBP7	4.102036
SLC35A2	0.5725251
PQBP1	2.1275759
EMD	2.2769067
PGK1	6.8104644
MAGT1	3.8104615
UBL4A	0.63572323
CD99L2	2.646526
CDK16	1.1399972
PBDC1	1.909086
ARMCX3	4.207349
FNDC3A	11.6985035
DNAJC3	6.842046
MRPS31	3.978864
DHRS12	2.2021782
MGRN1	3.4106314
PHKB	10.651647
LYRM1	2.6185539
NUTF2	1.955507
CENPT	1.5343515
LONP2	10.317663
N4BP1	5.530382
CTCF	4.5252934
POLR2C	1.8589759
USB1	0.8361435
CYB5B	3.7124267
NME3	5.417374
PSMD7	5.026932
SETD6	0.7053067
VAC14	1.9125719
TANGO6	4.1621075
COG4	2.7424948
WDR59	4.0952487
CMC2	2.5015764
AXIN1	1.4193721
NPRL3	3.7065794
MPG	3.7750573
USP10	4.597785
TSC2	2.1275816
CLCN7	1.8986729
METRN	1.6059644
STUB1	3.914845
NUBP1	1.7378873
UBE2I	5.680507
GSPT1	6.5543323
ZNF174	0.32529706
UBFD1	1.2845515
EARS2	0.6846204
HMOX2	3.3897934
DNAJA3	1.5380039
BFAR	3.0223155
MAZ	2.5828242
STX4	2.9113607
CDIPT	3.0325537
BCKDK	1.223296
KAT8	2.161689
RNF40	1.5608969
AAGAB	2.5227938
LACTB	2.8548725
TRIP4	3.5076714
MTFMT	1.9853499
RAB11A	11.553689
TMEM87A	8.781544
DTWD1	6.944314
GABPB1	3.5014784
DNAJC17	2.2651787
EIF3J	6.0716662
SPG11	8.533868
VPS18	0.5709309
BLOC1S6	3.8583329
ZDHHC2	2.295502
BRF2	0.47207388
ZFAND1	2.441178
NBN	4.6580453
UBE2W	1.6476682
RAB2A	14.606507
EIF3E	10.59975
EMC2	4.397631
ARMC1	2.7632585
CHRAC1	1.7830626
INTS10	5.312606
DCTN6	2.626383
R3HCC1	1.0583034
GSR	1.9589369
PPP2CB	6.2534604
ERICH1	8.272377
NUCB1	5.4136033
ECH1	4.484067
HNRNPL	4.3840795
NFKBIB	1.0862561
SNRNP70	8.785925
CLPTM1	2.6948874
PPP1R37	0.56799984
PIH1D1	3.026369
ERCC2	0.48906317
PLEKHJ1	2.0289795
OAZ1	11.505124
TRMT1	1.5547851
STX10	1.7635697
PTOV1	3.0403206
SGTA	1.3832636
C19orf53	4.6927247
TIMM44	2.150006
VRK3	1.9704093
FAM32A	2.4517562
AKAP8	2.5196345
ILVBL	1.3441399
ZNF419	0.30249736
POP4	1.0833392
URI1	7.899614
PDCD5	4.5487924
TIMM50	1.3234924
GPI	5.0993137
PLD3	8.004786
TBCB	3.1392455
POLR2I	2.8750267
HNRNPUL1	5.6569905
FZR1	0.7618829
PLIN3	3.0288796
MRPL4	1.9326565
ETFB	4.3031397
BABAM1	1.7335743
TYK2	1.8253895
CDC37	7.0639772
NAPA	1.7688648
GRWD1	0.7900245
TMEM205	2.660627
BCAT2	1.6462952
PPP2R1A	3.772603
WDR83OS	1.1808898
GCDH	1.7070584
DNASE2	1.6583333
LENG1	0.9405116
PRPF31	2.2461753
TFPT	0.7853146
COPE	4.714756
DDX49	1.4025042
ARMC6	0.6694045
TMEM147	3.1757529
USF2	3.5587347
KXD1	2.2703772
FKBP8	5.099083
SUGP1	1.3837318
GSK3A	1.8383838
ZNF574	0.3009662
GTPBP10	3.1103342
PMPCB	4.2519584
DNAJC2	4.512899
NAMPT	10.165398
HBP1	6.805304
BRAT1	1.5807551
SSBP1	6.456146
HIBADH	8.098622
TAX1BP1	12.053635
CHCHD2	8.96358
PDAP1	4.4323163
PTCD1	0.40376654
ZKSCAN1	7.0955706
EIF3B	4.2055273
RBM28	4.631791
LSM5	2.8773804
C1GALT1	4.3276916
PLOD3	2.2200534
RPA3	3.6981056
ZNHIT1	4.758357
TMEM106B	4.1345983
CHCHD3	8.383698
PSMA2	2.4205313
MRPL32	2.964442
COA1	7.814446
URGCP	2.4202144
TMEM248	4.0278816
POLD2	2.0014236
BCL7B	1.7176766
YKT6	1.0085014
EIF4H	5.0467744
NMRK1	3.25186
SEC61B	6.8253684
CDC37L1	3.3016624
PLGRKT	2.1381402
CREB3	1.2036566
RGP1	0.8744056
EDF1	8.213402
BAG1	3.3135278
