	ref_hk
OGFOD1	1.6955419
NOP14	1.4028275
SF3B2	7.3506007
DNM1L	5.851944
ERGIC2	4.8009806
METTL2A	1.2726308
CNOT3	1.6048131
DDX18	6.7878013
KHSRP	3.165654
ANKRD10	8.45115
CRLS1	3.4011128
ATRN	5.054036
NSFL1C	3.8117762
ZNF343	0.2087789
MAVS	3.459903
SNX5	6.4611125
RPL6	23.03283
MAPKAPK5	2.5574946
ESF1	5.387248
ANAPC5	6.3756304
TMEM230	9.083459
PEBP1	19.83091
CDIP1	2.431623
GANAB	4.086729
RBM41	2.9241352
MLF2	7.7253704
DDX24	9.018102
ZBTB25	1.8194618
NECAP1	1.7018152
DHX32	3.1274648
PAPOLA	11.028838
CCNK	2.6338935
MRPS33	5.3974586
NDUFB2	15.786295
NUDC	7.8944693
MAEA	3.9892578
MUL1	1.1474597
SPG21	5.0786514
DNAJB11	4.0289226
GNPTG	2.6319168
GOLGA3	2.3885336
MCOLN1	1.3139427
GLG1	11.836619
TNRC6A	13.618597
EXOC1	5.174422
RBM27	0.88150096
PUS7	1.2747713
DLD	4.9785457
TXNL1	7.579575
FH	3.3275824
CDV3	4.030579
ALKBH5	3.1815345
SPAG7	6.451982
TMEM101	3.9776664
PSME1	10.224245
PPP2R3C	3.2270076
HAUS4	0.88382083
OSGEP	2.5205078
RNF31	0.14243618
SCFD1	6.891804
HNRNPC	20.952425
TOX4	3.9778752
TINF2	1.6691831
SNAP23	4.6209836
MFSD11	2.5633318
COMT	6.5205135
ECHDC1	6.548053
LRRFIP2	8.101927
SEC22C	2.2074594
HDAC6	2.410688
UPRT	1.1066949
CDC23	1.7029665
AAAS	2.1125152
CBX5	7.292996
DHPS	3.406071
ARCN1	3.0175524
PSMD5	2.0934365
NANS	3.0685663
IKZF5	1.2679609
WAC	11.635031
NUBP2	3.2535567
HIVEP1	4.127227
BRPF3	1.1703594
MRPS18A	2.8020227
CDC5L	4.183839
SH3GLB1	6.7866373
TMED1	2.9764452
RAB18	6.0183616
MZF1	2.2887936
OCEL1	1.6706284
PSMD8	9.179112
HNRNPM	12.33769
NDUFB7	12.575979
TECR	7.9472837
TIMM13	10.074341
POLR2E	6.8137865
TRMT2A	1.0976473
RANBP1	8.355485
ZDHHC8	0.935285
SNAP29	2.3633928
CRKL	1.5802114
LZTR1	1.0755111
SMARCB1	6.198744
BCL2L13	5.415606
SF3A1	2.3848457
SPECC1L	1.2730386
SNRPD3	8.578767
PES1	2.165705
MAPK1	6.626124
SRRD	0.76007026
PATZ1	1.4993532
TFIP11	1.0080165
EIF3L	12.483037
MICALL1	0.8122652
POLR2F	6.7384243
PICK1	1.2742223
DDX17	22.14849
TCF20	3.9964595
HSCB	2.2520547
TOMM22	6.48241
FBXO7	5.612432
POLDIP3	2.555826
PPP6R2	8.608634
SUN2	2.2871296
CYB5R3	6.120609
LMF2	2.038295
RHBDD3	1.1878768
PACSIN2	7.5973706
AP1B1	3.1030889
HMGXB4	3.3117356
CHKB	1.0429736
MCAT	1.4903587
THOC5	1.5001075
ZMAT5	1.7024316
TAB1	1.2724308
MTMR3	5.669258
SAMM50	3.4523547
TXN2	6.2924457
EIF3D	8.382462
SGSM3	1.2632949
IFT27	2.827972
RBX1	12.136866
L3MBTL2	1.1468304
RANGAP1	1.6942669
ZC3H7B	2.7612698
PHF5A	3.3473518
DESI1	1.9896867
CERK	2.195769
ZBED4	1.3777069
ABHD4	0.9814772
KHNYN	0.957774
FKBP3	6.6030903
SDR39U1	2.8033733
RBM23	5.0336657
PRMT5	1.82235
PSMC6	6.6387424
GNPNAT1	1.6496352
ATP6V1D	5.9607534
PIGH	2.0010724
PSMA3	7.8886957
VTI1B	5.0448756
TIMM9	3.6126468
AHSA1	4.9431505
ALKBH1	1.5381145
SNW1	5.2346487
ITPK1	3.825134
PPM1A	4.0958514
ERH	12.134558
EIF5	10.232463
TELO2	1.3240644
PSMB5	9.420566
YY1	7.491302
ACIN1	6.5694337
CCNB1IP1	4.8413105
APEX1	8.219966
PABPN1	6.4927735
ARHGAP5	10.551969
CINP	2.301075
SRP54	5.5678115
CHD8	4.1208973
DCAF11	2.1654723
PSMA6	2.0064135
EMC9	1.5349628
TM9SF1	0.38095304
SEC23A	5.455392
GMPR2	2.7713873
PNN	9.504734
RABGGTA	0.8494151
PCIF1	1.4432094
GSS	2.6964593
TRPC4AP	5.9067264
ABHD12	3.5612743
ADNP	7.6999707
PFDN4	5.0153117
CSTF1	1.2066098
TPD52L2	3.252325
DNAJC5	3.4777424
NELFCD	3.9453747
PRPF6	4.7136164
PSMA7	13.829047
DIDO1	4.146991
GID8	3.2023606
ARFRP1	2.2897265
CDS2	3.7880018
TM9SF4	3.0344462
CRNKL1	1.8214961
POFUT1	1.2163024
NOP56	4.3966503
IDH3B	4.6242466
CDK5RAP1	2.0419333
TTI1	1.4982333
RPRD1B	2.6156013
PXMP4	0.75635135
CHMP4B	5.0717545
CST3	14.582069
ACTR5	0.5599596
AHCY	4.733307
DNTTIP1	2.537459
PIGU	2.7866278
ACOT8	1.7195119
RBFA	1.6393454
USP14	4.9985085
VAPA	14.15367
MIB1	6.0799108
RIOK3	5.4019675
PSMD10	1.5697725
NKAP	2.678708
MOSPD1	1.2831947
WDR13	4.491304
XIAP	6.3196373
CCDC22	0.97765577
NAA10	4.2786713
RBBP7	5.7134895
SLC35A2	0.8503293
PQBP1	3.502321
EMD	3.452993
PGK1	12.815246
MAGT1	3.7939084
UBL4A	1.0839721
CD99L2	1.8398901
CDK16	2.3499136
PBDC1	2.5255246
ARMCX3	4.9279737
FNDC3A	10.735112
DNAJC3	5.4810386
MRPS31	4.473995
DHRS12	1.0114422
MGRN1	3.553759
PHKB	7.867466
LYRM1	2.9050415
NUTF2	5.4641414
CENPT	1.6580038
LONP2	7.1737003
N4BP1	3.5691485
CTCF	4.16336
POLR2C	4.266905
USB1	1.2038392
CYB5B	6.0357804
NME3	5.5720534
PSMD7	5.3963356
SETD6	0.79678196
VAC14	2.0788805
TANGO6	3.0276895
COG4	2.8038054
WDR59	4.6538396
CMC2	5.6834164
AXIN1	1.2907863
NPRL3	3.3396888
MPG	3.2497737
USP10	4.8890495
TSC2	3.2640426
CLCN7	2.24225
METRN	1.5910134
STUB1	5.2339587
NUBP1	2.1021557
UBE2I	8.859908
GSPT1	6.2347703
ZNF174	0.29780453
UBFD1	1.3801024
EARS2	0.85822886
HMOX2	3.7650006
DNAJA3	2.010988
BFAR	3.330089
MAZ	2.6353743
STX4	1.98602
CDIPT	2.8463345
BCKDK	2.4407585
KAT8	2.5783854
RNF40	2.0189495
AAGAB	3.776345
LACTB	1.9614842
TRIP4	3.23947
MTFMT	1.8992934
RAB11A	10.071377
TMEM87A	5.5932336
DTWD1	3.698468
GABPB1	3.3770657
DNAJC17	2.349166
EIF3J	7.454466
SPG11	6.1679344
VPS18	0.7277233
BLOC1S6	2.8197587
ZDHHC2	3.2442217
BRF2	0.640311
ZFAND1	3.6635725
NBN	3.6584105
UBE2W	2.4317362
RAB2A	13.124033
EIF3E	16.282911
EMC2	4.420068
ARMC1	3.1005292
CHRAC1	2.5288231
INTS10	4.255821
DCTN6	4.0432663
R3HCC1	1.8725864
GSR	3.5390694
PPP2CB	7.238341
ERICH1	5.931144
NUCB1	6.4349527
ECH1	9.030186
HNRNPL	4.3888874
NFKBIB	1.1375246
SNRNP70	11.5556
CLPTM1	3.5199955
PPP1R37	0.7879895
PIH1D1	4.033888
ERCC2	0.9544224
PLEKHJ1	5.2700486
OAZ1	17.091421
TRMT1	1.6318402
STX10	2.600695
PTOV1	3.885314
SGTA	2.5754797
C19orf53	10.64311
TIMM44	2.6912637
VRK3	2.874541
FAM32A	4.087806
AKAP8	2.3203664
ILVBL	2.3797286
ZNF419	0.31938097
POP4	1.9029084
URI1	6.386063
PDCD5	6.075954
TIMM50	2.7234764
GPI	7.1058583
PLD3	8.212936
TBCB	6.346717
POLR2I	6.8325963
HNRNPUL1	5.5950975
FZR1	1.3758047
PLIN3	3.339288
MRPL4	4.446711
ETFB	9.267497
BABAM1	3.287888
TYK2	2.120353
CDC37	7.434832
NAPA	4.4771786
GRWD1	1.2287508
TMEM205	5.099166
BCAT2	2.442564
PPP2R1A	8.965046
WDR83OS	9.438733
GCDH	2.0916734
DNASE2	0.9543734
LENG1	1.3040017
PRPF31	3.9396117
TFPT	1.2523494
COPE	10.519339
DDX49	1.805704
ARMC6	1.1648097
TMEM147	6.234815
USF2	2.7922935
KXD1	3.1011612
FKBP8	8.267282
SUGP1	1.6110637
GSK3A	1.2405993
ZNF574	0.65158147
GTPBP10	2.2161944
PMPCB	4.868166
DNAJC2	3.332952
NAMPT	5.6634655
HBP1	4.570475
BRAT1	1.5344287
SSBP1	10.01144
HIBADH	9.412035
TAX1BP1	12.730843
CHCHD2	18.063828
PDAP1	6.003388
PTCD1	0.45568645
ZKSCAN1	6.637092
EIF3B	3.174591
RBM28	2.6692042
LSM5	7.417282
C1GALT1	4.228601
PLOD3	1.6107286
RPA3	5.9998484
ZNHIT1	9.751297
TMEM106B	4.7418675
CHCHD3	11.1961565
PSMA2	8.384265
MRPL32	4.648688
COA1	8.860049
