id_interaction,id_cp_interaction,multidata_1_id,multidata_2_id
235,NTF3_NTRK3,76,284
236,SEMA3A_NRP1_PLXNA1,77,390
237,SEMA3A_NRP1_PLXNA2,77,391
238,SEMA3A_NRP1_PLXNA3,77,392
239,SEMA3A_NRP1_PLXNA4,77,393
240,SEMA3B_NRP1_PLXNA1,78,390
241,SEMA3B_NRP1_PLXNA2,78,391
242,SEMA3B_NRP1_PLXNA3,78,392
243,SEMA3B_NRP1_PLXNA4,78,393
244,SEMA3C_NRP1_PLXNA1,79,390
245,SEMA3C_NRP1_PLXNA2,79,391
246,SEMA3C_NRP1_PLXNA3,79,392
247,SEMA3C_NRP1_PLXNA4,79,393
248,SEMA3D_NRP1_PLXNA1,80,390
249,SEMA3D_NRP1_PLXNA2,80,391
250,SEMA3D_NRP1_PLXNA3,80,392
251,SEMA3D_NRP1_PLXNA4,80,393
252,SEMA3B_NRP2_PLXNA1,78,394
253,SEMA3B_NRP2_PLXNA2,78,395
254,SEMA3B_NRP2_PLXNA3,78,396
255,SEMA3B_NRP2_PLXNA4,78,397
256,SEMA3C_NRP2_PLXNA1,79,394
257,SEMA3C_NRP2_PLXNA2,79,395
258,SEMA3C_NRP2_PLXNA3,79,396
259,SEMA3C_NRP2_PLXNA4,79,397
260,SEMA3D_NRP2_PLXNA1,80,394
261,SEMA3D_NRP2_PLXNA2,80,395
262,SEMA3D_NRP2_PLXNA3,80,396
263,SEMA3D_NRP2_PLXNA4,80,397
264,SEMA3F_NRP2_PLXNA1,81,394
265,SEMA3F_NRP2_PLXNA2,81,395
266,SEMA3F_NRP2_PLXNA3,81,396
267,SEMA3F_NRP2_PLXNA4,81,397
268,SEMA3G_NRP2_PLXNA1,82,394
269,SEMA3G_NRP2_PLXNA2,82,395
270,SEMA3G_NRP2_PLXNA3,82,396
271,SEMA3G_NRP2_PLXNA4,82,397
272,SEMA3C_NRP1_NRP2,79,398
273,SEMA3C_PLXND1,79,291
274,SEMA3E_PLXND1,83,291
275,ADM_CALCRL,84,292
276,CALCA_CALCRL,85,292
277,CALCB_CALCRL,86,292
278,GAS6_AXL,87,293
279,GAS6_TYRO3,87,294
280,GRN_SORT1,88,295
281,GUCA2A_GUCY2C,89,296
282,GUCA2B_GUCY2C,90,296
283,PROS1_AXL,91,293
284,PROS1_TYRO3,91,294
285,PSAP_GPR37,92,297
286,LGALS9_CD44,93,242
287,COL1A1_ITGA1_ITGB1,94,388
288,COL1A2_ITGA1_ITGB1,95,388
289,COL2A1_ITGA1_ITGB1,96,388
290,COL4A1_ITGA1_ITGB1,97,388
291,COL4A2_ITGA1_ITGB1,98,388
292,COL4A5_ITGA1_ITGB1,99,388
293,COL4A6_ITGA1_ITGB1,100,388
294,COL6A1_ITGA1_ITGB1,101,388
295,COL6A2_ITGA1_ITGB1,102,388
296,COL6A3_ITGA1_ITGB1,103,388
297,COL9A1_ITGA1_ITGB1,104,388
298,COL9A2_ITGA1_ITGB1,105,388
299,COL9A3_ITGA1_ITGB1,106,388
300,COL1A1_ITGA2_ITGB1,94,399
301,COL1A2_ITGA2_ITGB1,95,399
302,COL2A1_ITGA2_ITGB1,96,399
303,COL4A1_ITGA2_ITGB1,97,399
